systemTime,displayTime,value,realtimeValue,smoothedValue,status,trend,trendRate
2020-06-01T23:56:55,2020-06-01T15:56:55,96,96,96,,flat,-0.3
2020-06-01T23:51:54,2020-06-01T15:51:54,99,99,99,,flat,-0.2
2020-06-01T23:46:54,2020-06-01T15:46:54,101,101,101,,flat,-0.2
2020-06-01T23:41:54,2020-06-01T15:41:54,102,102,102,,flat,-0.1
2020-06-01T23:36:54,2020-06-01T15:36:54,104,103,104,,flat,0.0
2020-06-01T23:31:54,2020-06-01T15:31:54,105,106,105,,flat,0.2
2020-06-01T23:26:54,2020-06-01T15:26:54,105,106,105,,flat,0.1
2020-06-01T23:21:54,2020-06-01T15:21:54,103,103,103,,flat,0.0
2020-06-01T23:16:55,2020-06-01T15:16:55,104,101,104,,flat,0.1
2020-06-01T23:11:54,2020-06-01T15:11:54,105,108,105,,flat,0.6
2020-06-01T23:06:55,2020-06-01T15:06:55,105,106,105,,flat,0.6
2020-06-01T23:01:54,2020-06-01T15:01:54,102,102,102,,flat,0.6
2020-06-01T22:56:55,2020-06-01T14:56:55,99,99,99,,flat,0.6
2020-06-01T22:51:55,2020-06-01T14:51:55,94,95,94,,flat,0.4
2020-06-01T22:46:54,2020-06-01T14:46:54,89,89,89,,flat,-0.1
2020-06-01T22:41:54,2020-06-01T14:41:54,86,84,86,,flat,-0.5
2020-06-01T22:36:55,2020-06-01T14:36:55,85,84,85,,flat,-0.6
2020-06-01T22:31:54,2020-06-01T14:31:54,87,87,87,,flat,-0.6
2020-06-01T22:26:54,2020-06-01T14:26:54,90,91,90,,flat,-0.5
2020-06-01T22:21:54,2020-06-01T14:21:54,94,93,94,,flat,-0.5
2020-06-01T22:16:55,2020-06-01T14:16:55,97,97,97,,flat,-0.3
2020-06-01T22:11:55,2020-06-01T14:11:55,100,102,100,,flat,-0.2
2020-06-01T22:06:54,2020-06-01T14:06:54,102,101,102,,flat,-0.3
2020-06-01T22:01:54,2020-06-01T14:01:54,102,102,102,,flat,-0.4
2020-06-01T21:56:54,2020-06-01T13:56:54,102,103,102,,flat,-0.4
2020-06-01T21:51:54,2020-06-01T13:51:54,103,102,103,,flat,-0.6
2020-06-01T21:46:54,2020-06-01T13:46:54,104,105,104,,flat,-0.8
2020-06-01T21:41:54,2020-06-01T13:41:54,107,106,107,,fortyFiveDown,-1.0
2020-06-01T21:36:54,2020-06-01T13:36:54,109,109,109,,fortyFiveDown,-1.2
2020-06-01T21:31:54,2020-06-01T13:31:54,115,113,115,,fortyFiveDown,-1.2
2020-06-01T21:26:54,2020-06-01T13:26:54,122,123,122,,flat,-0.9
2020-06-01T21:21:54,2020-06-01T13:21:54,130,130,130,,flat,-0.4
2020-06-01T21:16:55,2020-06-01T13:16:55,138,138,138,,flat,0.1
2020-06-01T21:11:54,2020-06-01T13:11:54,143,145,143,,flat,0.7
2020-06-01T21:06:55,2020-06-01T13:06:55,145,147,145,,fortyFiveUp,1.3
2020-06-01T21:01:54,2020-06-01T13:01:54,143,144,143,,fortyFiveUp,1.5
2020-06-01T20:56:54,2020-06-01T12:56:54,137,139,137,,fortyFiveUp,1.6
2020-06-01T20:51:54,2020-06-01T12:51:54,127,129,127,,fortyFiveUp,1.2
2020-06-01T20:46:54,2020-06-01T12:46:54,117,114,117,,flat,0.5
2020-06-01T20:41:54,2020-06-01T12:41:54,109,107,109,,flat,0.2
2020-06-01T20:36:54,2020-06-01T12:36:54,105,105,105,,flat,0.1
2020-06-01T20:31:54,2020-06-01T12:31:54,102,103,102,,flat,-0.1
2020-06-01T20:26:54,2020-06-01T12:26:54,101,99,101,,flat,-0.5
2020-06-01T20:21:54,2020-06-01T12:21:54,101,101,101,,flat,-0.5
2020-06-01T20:16:54,2020-06-01T12:16:54,104,103,104,,flat,-0.4
2020-06-01T20:11:54,2020-06-01T12:11:54,108,108,108,,flat,-0.2
2020-06-01T20:06:54,2020-06-01T12:06:54,110,112,110,,flat,-0.1
2020-06-01T20:01:55,2020-06-01T12:01:55,110,110,110,,flat,-0.2
2020-06-01T19:56:55,2020-06-01T11:56:55,111,109,111,,flat,-0.3
2020-06-01T19:51:54,2020-06-01T11:51:54,112,113,112,,flat,-0.2
2020-06-01T19:46:54,2020-06-01T11:46:54,113,114,113,,flat,-0.2
2020-06-01T19:41:54,2020-06-01T11:41:54,114,113,114,,flat,-0.3
2020-06-01T19:36:55,2020-06-01T11:36:55,115,114,115,,flat,-0.2
2020-06-01T19:31:55,2020-06-01T11:31:55,117,119,117,,flat,0.0
2020-06-01T19:26:54,2020-06-01T11:26:54,119,119,119,,flat,0.1
2020-06-01T19:21:54,2020-06-01T11:21:54,119,119,119,,flat,0.0
2020-06-01T19:16:55,2020-06-01T11:16:55,119,119,119,,flat,0.1
2020-06-01T19:11:54,2020-06-01T11:11:54,118,118,118,,flat,0.0
2020-06-01T19:06:54,2020-06-01T11:06:54,118,117,118,,flat,-0.1
2020-06-01T19:01:54,2020-06-01T11:01:54,118,118,118,,flat,0.0
2020-06-01T18:56:55,2020-06-01T10:56:55,119,118,119,,flat,0.0
2020-06-01T18:51:54,2020-06-01T10:51:54,119,120,119,,flat,0.1
2020-06-01T18:46:54,2020-06-01T10:46:54,119,118,119,,flat,0.0
2020-06-01T18:41:55,2020-06-01T10:41:55,118,118,118,,flat,0.0
2020-06-01T18:36:55,2020-06-01T10:36:55,118,118,118,,flat,0.0
2020-06-01T18:31:55,2020-06-01T10:31:55,118,119,118,,flat,0.0
2020-06-01T18:26:55,2020-06-01T10:26:55,118,117,118,,flat,-0.1
2020-06-01T18:21:54,2020-06-01T10:21:54,119,119,119,,flat,0.0
2020-06-01T18:16:55,2020-06-01T10:16:55,120,121,120,,flat,0.1
2020-06-01T18:11:54,2020-06-01T10:11:54,121,121,121,,flat,0.2
2020-06-01T18:06:54,2020-06-01T10:06:54,121,122,121,,flat,0.4
2020-06-01T18:01:55,2020-06-01T10:01:55,121,121,121,,flat,0.5
2020-06-01T17:56:55,2020-06-01T09:56:55,119,119,119,,flat,0.5
2020-06-01T17:51:54,2020-06-01T09:51:54,117,118,117,,flat,0.7
2020-06-01T17:46:55,2020-06-01T09:46:55,116,115,116,,flat,0.7
2020-06-01T17:41:55,2020-06-01T09:41:55,112,114,112,,flat,0.8
2020-06-01T17:36:55,2020-06-01T09:36:55,109,108,109,,flat,0.7
2020-06-01T17:31:55,2020-06-01T09:31:55,104,105,104,,flat,0.7
2020-06-01T17:26:55,2020-06-01T09:26:55,101,99,101,,flat,0.6
2020-06-01T17:21:54,2020-06-01T09:21:54,97,98,97,,flat,0.8
2020-06-01T17:16:54,2020-06-01T09:16:54,93,95,93,,flat,0.6
2020-06-01T17:11:54,2020-06-01T09:11:54,86,86,86,,flat,0.0
2020-06-01T17:06:55,2020-06-01T09:06:55,81,78,81,,flat,-0.5
2020-06-01T17:01:54,2020-06-01T09:01:54,80,78,80,,flat,-0.7
2020-06-01T16:56:55,2020-06-01T08:56:55,84,83,84,,flat,-0.4
2020-06-01T16:51:55,2020-06-01T08:51:55,89,90,89,,flat,0.1
2020-06-01T16:46:54,2020-06-01T08:46:54,93,95,93,,flat,0.4
2020-06-01T16:41:55,2020-06-01T08:41:55,92,93,92,,flat,0.2
2020-06-01T16:36:55,2020-06-01T08:36:55,88,87,88,,flat,-0.2
2020-06-01T16:31:54,2020-06-01T08:31:54,85,84,85,,flat,-0.5
2020-06-01T16:26:54,2020-06-01T08:26:54,85,85,85,,flat,-0.6
2020-06-01T16:21:55,2020-06-01T08:21:55,88,87,88,,flat,-0.6
2020-06-01T16:16:54,2020-06-01T08:16:54,92,91,92,,flat,-0.3
2020-06-01T16:11:55,2020-06-01T08:11:55,97,97,97,,flat,0.2
2020-06-01T16:06:54,2020-06-01T08:06:54,101,104,101,,flat,0.6
2020-06-01T16:01:55,2020-06-01T08:01:55,99,101,99,,flat,0.4
2020-06-01T15:56:54,2020-06-01T07:56:54,95,92,95,,flat,-0.1
2020-06-01T15:51:55,2020-06-01T07:51:55,92,91,92,,flat,0.0
2020-06-01T15:46:55,2020-06-01T07:46:55,94,93,94,,flat,0.2
2020-06-01T15:41:54,2020-06-01T07:41:54,95,97,95,,flat,0.5
2020-06-01T15:36:55,2020-06-01T07:36:55,94,95,94,,flat,0.4
2020-06-01T15:31:55,2020-06-01T07:31:55,92,90,92,,flat,0.4
2020-06-01T15:26:54,2020-06-01T07:26:54,90,90,90,,flat,0.6
2020-06-01T15:21:55,2020-06-01T07:21:55,89,91,89,,flat,0.8
2020-06-01T15:16:55,2020-06-01T07:16:55,85,86,85,,flat,0.4
2020-06-01T15:11:54,2020-06-01T07:11:54,78,78,78,,flat,0.0
2020-06-01T15:06:54,2020-06-01T07:06:54,75,71,75,,flat,-0.4
2020-06-01T15:01:55,2020-06-01T07:01:55,76,77,76,,flat,-0.2
2020-06-01T14:56:55,2020-06-01T06:56:55,78,79,78,,flat,-0.1
2020-06-01T14:51:55,2020-06-01T06:51:55,78,77,78,,flat,-0.3
